Titolo;Autore;Genere;Età;Prezzo;Descrizione;Reparto;Scaffale
1984;George Orwell;distopico;16+;10.99;un classico della letteratura che immagina un futuro in cui il governo totalitario controlla ogni aspetto della vita dei cittadini. Il protagonista, Winston Smith, è un uomo che lavora nel Ministero della Verità, responsabile della manipolazione della storia e della censura dei contenuti. Tuttavia, Winston inizia a nutrire una crescente insoddisfazione per il sistema oppressivo e si ribella segretamente contro di esso;romanzo classico; A1
il nome della rosa;Umberto Eco;storico;18+;14.99;un romanzo ambientato in un monastero medievale, in cui un frate e un novizio indagano su una serie di misteriosi omicidi. Il protagonista, Guglielmo da Baskerville, si ritrova coinvolto nelle indagini per scoprire l'identità dell'assassino. Mentre esplora i passaggi oscuri e i labirinti dell'abbazia, Guglielmo si confronta con simboli criptici, segreti e conflitti teologici. Nel corso delle sue indagini, emergono scontri tra fazioni diverse dell'abbazia, segreti medievali e una profonda riflessione sul potere e la conoscenza;letteratura italiana; B1
la divina commedia;Dante Alighieri;poesia;14+;9.99;considerata uno dei capolavori più importanti della letteratura italiana e mondiale. La storia è un viaggio allegorico che il protagonista, Dante stesso, intraprende attraverso l'Inferno, il Purgatorio e il Paradiso. Nel "Inferno", Dante descrive il suo percorso attraverso i nove cerchi dell'Inferno, dove incontra anime dannate e personaggi famosi del passato. Nel "Purgatorio", Dante ascende il monte del Purgatorio, dove le anime vengono purificate dai loro peccati prima di raggiungere il Paradiso. Infine, nel "Paradiso", Dante entra nel regno celeste e viene guidato attraverso i nove cieli, fino ad arrivare alla visione di Dio;letteratura italiana; B2
don chisciotte;Miguel de Cervantes;cavalleresco;12+;12.99;Le avventure di un cavaliere idealista e del suo scudiero, che si imbarcano in missioni eroiche;romanzo classico; A2
guerra e pace;Lev Tolstoj;storico;18+;15.99;Un'epica storia che si svolge durante le guerre napoleoniche, con un intreccio di personaggi e vicende;romanzo classico; A3
il gattopardo;Tomasi di Lampedusa;storico;16+;11.99;La storia di una nobile famiglia siciliana durante l'unificazione italiana nel XIX secolo;letteratura italiana; B2
moby dick;Herman Melville;avventura;14+;10.99;Le avventure di un capitano di nave e la sua ossessione per la caccia alla balena bianca;romanzo avventura; C1
l'idiota;Fedor Dostoevskij;psicologico;18+;13.99;Il ritratto di un giovane principe che, nonostante la sua ingenuità, affronta il mondo corrotto della società russa;critica letteraria; D1
cime tempestose;Emily Bronte;romantico;16+;10.99;Una storia di amore, gelosia e vendetta ambientata nella brughiera inglese;romanzo romantico; E1
il cacciatore di aquiloni;Khaled Hosseini;drammatico;14+;12.99;Un romanzo che esplora l'amicizia, il tradimento e la redenzione in Afghanistan durante un periodo di conflitto;romanzo contemporaneo; F1
se questo è un uomo;Primo Levi;saggio;16+;9.99;Le memorie dell'autore, un sopravvissuto all'Olocausto, che riflette sulla vita nei campi di concentramento nazisti; memorie e testimonianze; G1
madame bovary;Gustave Flaubert;realista;18+;11.99;La storia di Emma Bovary, una donna insoddisfatta che cerca la felicità attraverso avventure amorose;romanzo classico; A3
anna karenina;Lev Tolstoj;realista;16+;10.99;Le vicende di una donna che si trova coinvolta in un amore proibito e le conseguenze che ciò comporta;critica letteraria; D1
il signore delle mosche;William Golding;allegoria;14+;9.99;Un gruppo di ragazzi naufragati su un'isola deserta cerca di organizzarsi, ma il potere e la violenza prendono il sopravvento;romanzo contemporaneo; F2
il vecchio e il mare;Ernest Hemingway;formazione;16+;8.99;La storia di un anziano pescatore cubano che si imbatte in una lotta epica con un grande pesce marlin;romanzo classico; A3
il giovane holden;J.D. Salinger;formazione;14+;10.99;Le avventure e le riflessioni di un giovane ribelle che cerca di farsi strada nel mondo degli adulti;romanzo contemporaneo; F2
la storia infinita;Michael Ende;fantasy;12+;11.99;Un giovane lettore si trova coinvolto in una magica avventura nel mondo dei libri;letteratura per ragazzi; H1
il grande gatsby;F. Scott Fitzgerald;drammatico;16+;12.99;La storia di Jay Gatsby, un uomo misterioso e affascinante, durante gli anni ruggenti dell'America del dopoguerra;romanzo classico; A5
